id,candy,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
31,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056
32,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392
33,Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505
34,M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585
35,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716
36,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072
37,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556
38,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701
39,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334
40,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754
41,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451
42,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046
43,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641
44,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068
45,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341
46,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468
47,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597
48,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788
49,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336
50,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511
51,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522
52,ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257
53,ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029
54,ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499
55,ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901
56,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756
57,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286
58,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691
59,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144
60,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722
61,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514
62,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695
63,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188
64,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827
65,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782
66,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
67,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998
68,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947
69,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
70,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
71,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
72,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
73,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
74,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
